Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
134	https://www.mediamarkt.de/de/search.html?query=gaming%20pc%20desktop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	134	DE	gaming pc desktop	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
135	https://www.mediamarkt.de/de/search.html?query=i9%2014900k	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	135	DE	i9 14900k	Desktop	Hi-Tech_POC	n/a	Components	Processor	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
136	https://www.mediamarkt.de/de/brand/chromebook/alle-chromebooks?query=chromebook%20laptop&queryMeta[ga_query]=chromebook%20laptop&queryMeta[queryHash]=7b6d1510888bbcc65fcf8128929e58f016151b744a9e406738a273b83d73ab4b&queryMeta[queryRequestId]=7b6d1510888bbcc65fcf8128929e58f016151b744a9e406738a273b83d73ab4b&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	136	DE	chromebook laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
137	https://www.mediamarkt.de/de/search.html?query=tower%20computers	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	137	DE	tower computers	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
138	https://www.mediamarkt.de/de/search.html?query=laptop%20hp	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	138	DE	laptop hp	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
139	https://www.mediamarkt.de/de/category/gaming-laptops-348.html?query=gaming%20laptops&queryMeta[finalQuery]=gaming%20laptop&queryMeta[ga_query]=gaming%20laptops&queryMeta[queryHash]=20a93a70273fb384cae0d6a24d1c10058b589adece9c57cdd3799b2bb8196e5b&queryMeta[queryRequestId]=20a93a70273fb384cae0d6a24d1c10058b589adece9c57cdd3799b2bb8196e5b&queryMeta[standardizedQuery]=gaming%20laptop&queryMeta[userInput]=gaming%20laptops&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	139	DE	gaming laptops	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
140	https://www.mediamarkt.de/de/search.html?query=desktop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	140	DE	desktop	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
141	https://www.mediamarkt.de/de/search.html?query=touchscreen%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	141	DE	touchscreen laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
142	https://www.mediamarkt.de/de/search.html?query=intel%20nuc&searchFeatures%5B0%5D%5Bname%5D=suggest&searchFeatures%5B0%5D%5Bvalue%5D=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	142	DE	intel nuc	Desktop	Hi-Tech_POC	n/a	Components	Processor	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
143	https://www.mediamarkt.de/de/search.html?query=i5%2012600k	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	143	DE	i5 12600k	Desktop	Hi-Tech_POC	n/a	Components	Processor	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
